KET单词表汇总	
NO.	单词	音标	解释	默写	
第 53 页，共 55 页
1571	sky	[skaɪ]	天空		
1572	alright	[ɔːlˈraɪt]	adv.好吧		
1573	fan	[fæn]	n.(电影、运动等的)迷；热心的爱好	者(支持者)；扇子		
1574	toilet	[ˈtɔɪlət]	n.厕所		
1575	surfboard	[ˈsɜːfbɔːd]	冲浪板		
1576	dear	[dɪər]	adj.亲爱的		
1577	file	[faɪl]	n.档案		
1578	eraser	[ɪˈreɪzər]	橡皮擦		
1579	snowboarding	[ˈsnəʊˌbɔːdɪŋ]	滑雪板运动		
1580	quiz	[kwɪz]	n. 测试		
1581	basketball	[ˈbɑːskɪtbɔːl]	n.篮球		
1582	comedy	[ˈkɒmədi]	n. 喜剧；喜剧片		
1583	interested	[ˈɪntrəstɪd; ˈɪntrestɪ	d]	adj.感兴趣的		
1584	jeans	[dʒiːnz]	n.牛仔裤		
1585	sing	[sɪŋ]	v.唱；唱歌		
1586	elevator	[ˈelɪveɪtər]	n.电梯;升降机		
1587	left	[left]	adv.&n.向左边;左边		
1588	into	[ˈɪntə; ˈɪntu; ˈɪntuː]	prep. 到…里面		
1589	age	[eɪdʒ]	n. 年龄		
1590	tie	[taɪ]	vt.捆，绑		
1591	next	[nekst]	adv. 紧接着；随后		
1592	outside	[ˌaʊtˈsaɪd]	在外面		
1593	around	[əˈraʊnd]	到处		
1594	thanks	[θæŋks]	谢谢		
1595	teacher	[ˈtiːtʃər]	n.教师		
1596	belong	[bɪˈlɒŋ]	v.属；附属		
1597	o'clock	[ə'klɒk]	adv. …点钟		
1598	plane	[pleɪn]	n.飞机		
1599	bracelet	[ˈbreɪslət]	n.手镯		
1600	deep	[diːp]	adj.深		
第 54 页，共 55 页
1601	jump	[dʒʌmp]	n. & v.跳；跳跃		
1602	cinema	[ˈsɪnəmə; ˈsɪnəmɑː]	n.电影院；电影		
1603	let	[let]	v.让(let, let)		
1604	page	[peɪdʒ]	n.页；页码		
1605	omelette	[ˈɒmlət]	n.煎蛋卷		
1606	movie star		电影明星		
1607	cooker	[ˈkʊkər]	n.厨灶，炉具		
1608	bathtub	[ˈbɑːθtʌb]	浴缸		
1609	noise	[nɔɪz]	响声；噪音		
1610	tidy	[ˈtaɪdi]	v.使整洁，使整齐		
1611	once	[wʌns]	adv.&conj.&n.一次，一度，从前		
1612	grow	[ɡrəʊ]	v.生长；发育；种植；变成(grew, 	grown)		
第 55 页，共 55 页
